s,a,r,sp
651,10,1.565578,1209
651,11,1.57698,1209
651,12,1.588718,1209
651,13,1.592216,1209
651,14,1.613246,1189
651,15,1.617105,1169
651,16,1.634667,1169
651,17,1.657547,1149
651,18,1.691163,1129
651,19,1.731705,1089
651,20,1.774636,1069
531,1,1.127997,1209
531,2,1.193936,1209
531,3,1.271807,1189
531,4,1.350672,1189
531,5,1.419206,1189
531,6,1.478969,1209
531,7,1.52287,1209
531,8,1.551017,1209
531,9,1.596463,1209
531,10,1.59951,1209
531,11,1.6275,1209
531,12,1.648122,1209
531,13,1.669536,1209
531,14,1.68718,1189
531,15,1.696053,1169
531,16,1.714667,1169
531,17,1.738848,1149
531,18,1.774266,1129
531,19,1.816932,1089
531,20,1.862099,1069
751,1,1.219176,1209
751,2,1.471383,1209
751,3,1.731082,1189
751,4,1.948198,1189
751,5,1.978597,1189
751,6,1.826667,1209
751,7,1.722098,1209
751,8,1.632673,1209
751,9,1.560187,1209
751,10,1.497222,1209
751,11,1.450405,1209
751,12,1.413545,1209
751,13,1.396942,1209
751,14,1.388115,1189
751,15,1.390789,1169
751,16,1.405333,1169
751,17,1.416348,1149
751,18,1.427711,1129
751,19,1.426858,1089
751,20,1.451532,1069
1189,1,1.083757,988
1189,2,1.161975,988
1189,3,1.240973,1008
1189,4,1.298996,1028
1189,5,1.327941,1068
1189,6,1.317985,1108
1189,7,1.303182,1148
1189,8,1.269609,1188
1189,9,1.223966,1248
1189,10,1.164521,1308
1189,11,1.113254,1348
1189,12,1.065382,1388
1189,13,1.023757,1428
1189,14,0.990519,1448
1189,15,0.96162,1428
1189,16,0.936575,1408
1189,17,0.917725,1368
1189,18,-1.095435,1288
1189,19,-1.103152,1208
1189,20,-1.108152,1108
1209,1,1.110312,988
1209,2,1.234726,988
1209,3,1.386425,1008
1209,4,1.500619,1028
1209,5,1.613889,1068
1209,6,1.710413,1108
1209,7,1.747477,1148
1209,8,1.742477,1188
1209,9,1.705742,1248
1209,10,1.665116,1308
1209,11,1.645288,1348
1209,12,1.606667,1388
1209,13,1.573889,1428
1209,14,1.550879,1448
1209,15,1.528261,1428
1209,16,1.514595,1408
1209,17,1.505296,1368
1209,18,1.500296,1288
1209,19,1.495296,1208
1209,20,1.490296,1108
1169,1,1.062925,988
1169,2,1.11749,988
1169,3,1.154421,1008
1169,4,1.184255,1028
1169,5,1.174153,1068
1169,6,1.106546,1108
1169,7,1.041046,1148
1169,8,0.985362,1188
1169,9,-1.069735,1248
1169,10,-1.120671,1308
1169,11,-1.168074,1348
1169,12,-1.215477,1388
1169,13,-1.259346,1428
1169,14,-1.296148,1448
1169,15,-1.329417,1428
1169,16,-1.359152,1408
1169,17,-1.38182,1368
1169,18,-1.39742,1288
1169,19,-1.405954,1208
1169,20,-1.410954,1108
1208,1,1.000319,1010
1208,2,0.995319,1050
1208,3,-1.06791,1050
1208,4,-1.136402,1070
1208,5,-1.210185,1070
1208,6,-1.283968,1090
1208,7,-1.357751,1090
1208,8,-1.431534,1090
